Year_Seq,Year,Region,Abundance,Method,LCI,UCI
30,1976,California,NA,Estimated,,
31,1977,California,NA,Estimated,,
32,1978,California,NA,Estimated,,
33,1979,California,NA,Estimated,,
34,1980,California,NA,Estimated,,
35,1981,California,NA,Estimated,,
36,1982,California,NA,Estimated,,
37,1983,California,1180.862543,Estimated,1096.999385,1270.088454
38,1984,California,1218.602611,Estimated,1140.018652,1300.582557
39,1985,California,1270.935508,Estimated,1190.041195,1356.504671
40,1986,California,1385.71405,Estimated,1305.586644,1472.788162
41,1987,California,1483.937421,Estimated,1399.397027,1574.575747
42,1988,California,1570.643252,Estimated,1480.667745,1669.081883
43,1989,California,1602.852648,Estimated,1511.055376,1701.981183
44,1990,California,1648.533795,Estimated,1552.396897,1752.058455
45,1991,California,1742.688415,Estimated,1643.093459,1848.235164
46,1992,California,1860.428657,Estimated,1755.562365,1975.16765
47,1993,California,1945.612634,Estimated,1835.972401,2064.126685
48,1994,California,2037.561194,Estimated,1918.633255,2166.261804
49,1995,California,2031.456183,Estimated,1918.634813,2153.121932
50,1996,California,2038.126994,Estimated,1925.592762,2157.834193
51,1997,California,2048.162033,Estimated,1933.144839,2170.770583
52,1998,California,2041.453139,Estimated,1922.675416,2163.810671
53,1999,California,2032.507366,Estimated,1908.935841,2160.408712
54,2000,California,2075.212815,Estimated,1950.926774,2203.716653
55,2001,California,2141.855074,Estimated,2018.637191,2270.244319
56,2002,California,2199.752876,Estimated,2073.831388,2330.583714
57,2003,California,2299.278957,Estimated,2171.489861,2432.910534
58,2004,California,2414.614791,Estimated,2282.978839,2556.66926
59,2005,California,2488.226227,Estimated,2351.387475,2634.168702
60,2006,California,2436.721059,Estimated,2298.578511,2582.413399
61,2007,California,2462.182618,Estimated,2323.318504,2608.825627
62,2008,California,2480.584281,Estimated,2338.257813,2631.663315
63,2009,California,2434.228241,Estimated,2286.772535,2588.33923
64,2010,California,2409.520758,Estimated,2254.170228,2569.625995
65,2011,California,2403.333584,Estimated,2229.601412,2584.420703
66,2012,California,2393.948154,Estimated,2243.00137,2556.775367
67,2013,California,2392.579746,Estimated,2245.779211,2552.908569
68,2014,California,2473.047927,Estimated,2326.51732,2629.96466
69,2015,California,2647.574787,Estimated,2484.729834,2817.444816
70,2016,California,2720.581402,Estimated,2548.071318,2907.835263
71,2017,California,2636.58065,Estimated,2435.776398,2854.42932
